iter	Passed	Remaining
0	2	1452
1	5	1316
2	7	1269
3	9	1235
4	12	1214
5	15	1264
6	18	1276
7	20	1250
8	22	1223
9	24	1203
10	26	1185
11	29	1185
12	31	1185
13	34	1190
14	36	1174
15	38	1164
16	40	1153
17	42	1145
18	44	1135
19	47	1134
20	49	1137
21	52	1131
22	54	1124
23	56	1116
24	58	1108
25	60	1105
26	63	1104
27	65	1111
28	68	1108
29	70	1105
30	72	1104
31	75	1100
32	77	1095
33	80	1100
34	82	1101
35	85	1099
36	87	1094
37	89	1089
38	91	1083
39	93	1078
40	96	1080
41	98	1078
42	101	1074
43	103	1070
44	105	1065
45	107	1061
46	109	1057
47	112	1061
48	115	1059
49	117	1055
50	119	1051
51	121	1048
52	123	1044
53	125	1039
54	128	1040
55	130	1038
56	133	1034
57	135	1030
58	137	1026
59	139	1021
60	141	1018
61	144	1018
62	146	1016
63	148	1012
64	150	1009
65	153	1007
66	155	1003
67	157	1000
68	160	1002
69	162	1000
70	165	997
71	167	994
72	169	992
73	171	990
74	174	986
75	176	986
76	179	984
77	181	980
78	183	977
79	185	973
80	187	970
81	190	972
82	194	974
83	196	973
84	198	970
85	200	967
86	203	964
87	205	960
88	207	959
89	210	958
90	212	955
91	214	952
92	216	949
93	219	946
94	221	942
95	223	942
96	226	941
97	229	939
98	231	936
99	233	934
100	235	930
101	238	928
102	240	927
103	242	924
104	244	921
105	247	918
106	249	915
107	251	912
108	253	909
109	256	907
110	258	905
111	260	903
112	262	900
113	264	897
114	267	894
115	269	891
116	271	889
117	274	887
118	276	884
119	278	882
120	280	879
121	283	877
122	285	874
123	288	873
124	290	871
125	292	868
126	294	865
127	296	862
128	299	860
129	301	857
130	303	855
131	306	853
132	308	850
133	310	847
134	312	845
135	314	842
136	316	839
137	319	838
138	322	836
139	324	834
140	326	831
141	329	829
142	331	826
143	333	823
144	335	822
145	338	820
146	340	817
147	342	814
148	345	812
149	347	810
150	349	807
151	352	806
152	354	803
153	356	800
154	358	798
155	360	795
156	363	793
157	365	790
158	367	788
159	369	786
160	372	783
161	374	780
162	376	778
163	378	775
164	380	772
165	383	771
166	386	769
167	388	767
168	390	764
169	392	761
170	394	758
171	396	756
172	399	754
173	401	752
174	403	750
175	405	747
176	408	744
177	410	741
178	412	739
179	414	737
180	417	734
181	419	732
182	421	729
183	423	726
184	425	723
185	427	720
186	428	717
187	431	716
188	433	713
189	435	710
190	437	707
191	439	704
192	441	702
193	443	699
194	445	696
195	447	694
196	450	692
197	451	689
198	453	686
199	455	683
200	457	680
201	459	678
202	462	676
203	464	673
204	466	671
205	468	668
206	470	665
207	472	663
208	474	660
209	476	657
210	478	655
211	481	653
212	482	650
213	484	648
214	486	645
215	488	642
216	490	639
217	492	637
218	495	635
219	497	633
220	499	630
221	501	627
222	503	625
223	505	622
224	507	620
225	509	618
226	512	616
227	514	614
228	516	611
229	518	608
230	520	606
231	522	603
232	524	601
233	527	599
234	529	597
235	531	594
236	533	592
237	535	589
238	537	587
239	539	584
240	541	581
241	544	580
242	546	577
243	548	575
244	549	572
245	552	570
246	554	568
247	556	565
248	558	563
249	561	561
250	563	558
251	565	556
252	567	553
253	569	551
254	570	548
255	572	546
256	575	543
257	577	541
258	579	539
259	581	536
260	583	534
261	586	532
262	588	530
263	590	527
264	593	525
265	594	523
266	597	521
267	599	518
268	601	516
269	603	513
270	604	511
271	607	509
272	609	507
273	611	504
274	613	502
275	615	499
276	617	497
277	619	494
278	621	492
279	624	490
280	626	487
281	628	485
282	630	483
283	632	480
284	633	478
285	636	475
286	638	473
287	640	471
288	642	469
289	644	466
290	646	464
291	648	461
292	650	459
293	652	457
294	654	454
295	657	452
296	659	450
297	661	448
298	662	445
299	664	443
300	666	440
301	668	438
302	671	436
303	673	434
304	675	431
305	677	429
306	679	427
307	681	424
308	683	422
309	685	420
310	688	418
311	690	415
312	692	413
313	693	411
314	695	408
315	697	406
316	700	404
317	702	402
