claim_id,policy_holder_age,gender,marital_status,employment_status,education_level,policy_type,policy_age_days,policy_premium_annual,coverage_amount,deductible,prior_claims_count,incident_date,report_date,days_to_report,claim_amount,incident_type,incident_severity,police_report_filed,witnesses_present,attorney_involved,incident_time,claim_description_length,multiple_claims_same_incident,repair_shop_type,medical_provider_count,claimant_address_change_recent,phone_change_recent,social_media_check,is_fraud,claim_amount_to_coverage_ratio
CLM00001,56,M,Divorced,Retired,High School,Auto,1526,3103,471122,5000,2,2025-12-19,2025-12-22,3,31021,Vandalism,Moderate,No,1,No,14,484,No,Unknown,6,No,Yes,Not_Available,1,0.0658449403763781
CLM00002,69,M,Divorced,Retired,Graduate,Auto,1378,6461,160737,2000,1,2025-03-31,2025-04-08,8,99365,Fire,Moderate,Yes,0,No,23,225,No,Authorized,5,No,Yes,Not_Available,0,0.618183741142363
CLM00003,46,F,Married,Self-Employed,College,Workers_Comp,1248,9069,80246,1000,0,2025-06-15,2025-06-15,0,88847,Fire,Total_Loss,Yes,2,Yes,16,97,No,Authorized,1,No,No,Not_Available,0,1.1071829125439274
CLM00004,32,F,Single,Employed,College,Property,1554,8057,206936,500,0,2025-07-13,2025-07-17,4,161786,Vandalism,Total_Loss,Yes,0,Yes,17,420,No,Independent,1,No,No,Not_Available,0,0.7818166003015425
CLM00005,60,F,Single,Employed,College,Property,145,2180,449667,500,0,2025-01-19,2025-01-19,0,192361,Vandalism,Moderate,Yes,0,No,1,347,No,Authorized,1,No,No,Clean,0,0.42778545012197916
CLM00006,25,F,Married,Employed,Graduate,Workers_Comp,1983,8933,244955,2000,1,2025-11-15,2025-11-26,11,17701,Theft,Moderate,Yes,1,Yes,11,117,Yes,Authorized,7,No,No,Clean,0,0.07226225225041334
CLM00007,78,F,Divorced,Unemployed,High School,Auto,1264,9611,358292,2000,0,2025-10-22,2025-10-22,0,93432,Theft,Moderate,Yes,0,Yes,15,365,No,Authorized,6,Yes,No,Clean,0,0.26077054469538813
CLM00008,38,M,Widowed,Retired,College,Auto,1907,6182,55890,1000,4,2025-06-02,2025-06-06,4,123354,Injury,Moderate,No,0,No,3,384,No,Authorized,0,No,No,Clean,1,2.207085346215781
CLM00009,56,M,Married,Employed,College,Auto,2940,8584,410010,5000,3,2025-07-25,2025-08-05,11,151686,Vandalism,Severe,No,0,Yes,1,369,No,Unknown,3,No,No,Suspicious,0,0.3699568303212117
CLM00010,75,M,Widowed,Self-Employed,College,Auto,2391,5867,42888,1000,2,2025-08-05,2025-08-10,5,198784,Collision,Total_Loss,No,1,Yes,13,489,No,Authorized,10,No,No,Not_Available,0,4.634956164894609
